Stkcd,Accper_year,F050201B
688128,2016,0.16884349999999998
688128,2017,0.0535705
688128,2018,0.083315
688128,2019,0.04413783333333333
688128,2020,0.038897875
688128,2021,0.04094442857142857
688128,2022,0.038216
688129,2017,0.2795725
688129,2018,0.234547
688129,2019,0.208038
688129,2020,0.10721775
688129,2021,0.05666242857142857
688129,2022,0.016726333333333333
688130,2019,0.18531
688130,2020,0.653098
688130,2021,0.2011765
688130,2022,0.04297542857142857
688131,2018,0.029505
688131,2019,0.13231700000000002
688131,2020,0.0968525
688131,2021,0.044013000000000004
688131,2022,0.04518233333333333
688132,2019,0.026626999999999998
688132,2020,0.047632
688132,2021,0.0441935
688132,2022,0.0236974
688133,2017,0.082067
688133,2018,0.09050649999999999
688133,2019,0.08204449999999999
688133,2020,0.04235049999999999
688133,2021,0.028766571428571426
688133,2022,0.021771428571428574
688135,2017,0.0534215
688135,2018,0.046936000000000005
688135,2019,0.1104215
688135,2020,0.046842833333333334
688135,2021,0.046111
688135,2022,0.014298375
688136,2017,0.093238
688136,2018,0.098908
688136,2019,0.1218835
688136,2020,0.064455
688136,2021,0.024184714285714285
688136,2022,-0.009733333333333332
688137,2019,-0.26015299999999997
688137,2020,0.5332509999999999
688137,2021,0.3031935
688137,2022,0.0616228
688138,2016,0.097318
688138,2017,0.058203000000000005
688138,2018,0.0914545
688138,2019,0.058707499999999996
688138,2020,0.03921575
688138,2021,0.023719571428571427
688138,2022,0.032042999999999995
688139,2016,0.1311465
688139,2017,0.050631499999999996
688139,2018,0.052252
688139,2019,0.05042683333333334
688139,2020,0.06284775000000001
688139,2021,0.12831942857142856
688139,2022,0.06672316666666667
688141,2019,-0.28330350000000004
688141,2020,-0.3742855
688141,2021,0.148126
688141,2022,0.06063283333333334
688143,2019,0.1121475
688143,2020,0.1143895
688143,2021,0.1387325
688143,2022,0.06766083333333334
688147,2019,0.090761
688147,2020,0.051603
688147,2021,0.033984
688147,2022,-0.003337333333333333
688148,2018,0.025361500000000002
688148,2019,0.057928
688148,2020,0.040523
688148,2021,0.020304
688148,2022,0.002271
688150,2018,0.015719000000000004
688150,2019,0.105126
688150,2020,0.0626555
688150,2021,0.058634
688150,2022,0.029064166666666665
688151,2018,0.0578675
688151,2019,0.058097499999999996
688151,2020,0.0744
688151,2021,0.08521083333333333
688151,2022,0.01605214285714286
688152,2019,0.0815245
688152,2020,0.232362
688152,2021,0.22567700000000002
688152,2022,0.08307583333333333
688153,2018,-0.089711
688153,2019,-0.0564895
688153,2020,-0.035630499999999996
688153,2021,0.03234975
688153,2022,0.025946833333333332
688155,2017,0.018785
688155,2018,0.0672915
688155,2019,0.11256150000000001
688155,2020,0.03644266666666667
688155,2021,0.03256471428571429
688155,2022,-0.006215666666666667
688156,2017,0.068165
688156,2018,0.052806
688156,2019,0.08923
688156,2020,0.024269
688156,2021,0.04032628571428571
688156,2022,0.0136955
688157,2017,0.089433
688157,2018,0.1271215
688157,2019,0.16322399999999998
688157,2020,0.04577875
688157,2021,0.04358242857142858
688157,2022,0.036071285714285715
688158,2016,-0.11263600000000001
688158,2017,0.0490205
688158,2018,0.036692
688158,2019,0.0072025
688158,2020,-0.032942374999999996
688158,2021,-0.07727514285714286
688158,2022,-0.0589
688159,2016,0.0750595
688159,2017,0.121976
688159,2018,0.06235399999999999
688159,2019,0.04795733333333333
688159,2020,-0.02665125
688159,2021,-0.011151285714285713
688159,2022,-0.016391625
688160,2017,0.1183245
688160,2018,0.146929
688160,2019,0.1900955
688160,2020,0.10271683333333333
688160,2021,0.05423371428571429
688160,2022,0.05432285714285715
688161,2018,0.1469245
688161,2019,0.1393595
688161,2020,0.17555199999999999
688161,2021,0.08075942857142858
688161,2022,0.0695275
688162,2018,0.011296500000000001
688162,2019,0.0619885
688162,2020,0.0548975
688162,2021,0.03590566666666667
688162,2022,0.015695375
688163,2018,0.187744
688163,2019,0.17453950000000001
688163,2020,0.20191350000000002
688163,2021,0.16071433333333332
688163,2022,0.035284499999999996
688165,2017,-0.0021745000000000002
688165,2018,0.0090405
688165,2019,-0.011737000000000001
688165,2020,-0.017192875
688165,2021,-0.025762999999999998
688165,2022,-0.029571
688166,2016,0.0555195
688166,2017,0.0793545
688166,2018,0.06793199999999999
688166,2019,0.05374816666666667
688166,2020,0.050149125
688166,2021,0.04171885714285715
688166,2022,0.032170166666666666
688167,2018,0.028673
688167,2019,-0.0952185
688167,2020,0.029336
688167,2021,0.02860233333333333
688167,2022,0.025200285714285713
688168,2016,0.14349499999999998
688168,2017,0.13588899999999998
688168,2018,0.1333775
688168,2019,0.054446
688168,2020,0.02011875
688168,2021,0.017630285714285713
688168,2022,-0.009828000000000002
688169,2016,-0.043013
688169,2017,0.1165585
688169,2018,0.2867865
688169,2019,0.30105740000000003
688169,2020,0.08244525
688169,2021,0.08252985714285714
688169,2022,0.06586866666666667
688170,2019,0.035083
688170,2020,0.070183
688170,2021,0.0784765
688170,2022,0.024380428571428574
688171,2018,0.273489
688171,2019,0.354669
688171,2020,0.229882
688171,2021,0.119681
688171,2022,0.0265005
688172,2019,-0.020846
688172,2020,0.0075635
688172,2021,0.0245845
688172,2022,0.014165666666666665
688173,2018,-0.092303
688173,2019,-0.022467499999999998
688173,2020,-0.2304485
688173,2021,0.03818983333333333
688173,2022,0.004593166666666666
688175,2018,0.0632935
688175,2019,0.0698095
688175,2020,0.130497
688175,2021,0.09047575
688175,2022,0.02774616666666667
688176,2018,-0.790223
688176,2019,-1.6665695
688176,2020,-0.2457345
688176,2021,-0.12234850000000001
688176,2022,-0.03714166666666666
688177,2016,-0.184152
688177,2017,-0.372966
688177,2018,-0.541862
688177,2019,-0.8126804
688177,2020,-0.125210625
688177,2021,-0.011441571428571428
688177,2022,-0.11066300000000001
688178,2016,0.07418849999999999
688178,2017,0.1532325
688178,2018,0.0871995
688178,2019,0.08816283333333334
688178,2020,0.043728375
688178,2021,0.02374842857142857
688178,2022,0.010579166666666667
688179,2017,0.09688849999999999
688179,2018,0.14935199999999998
688179,2019,0.164098
688179,2020,0.09106516666666666
688179,2021,0.054650142857142855
688179,2022,0.040015
688180,2017,-0.256307
688180,2018,-0.1612345
688180,2019,-0.2459925
688180,2020,-0.1586078333333333
688180,2021,0.008074571428571427
688180,2022,-0.11258133333333332
688181,2016,0.030818
688181,2017,0.0841115
688181,2018,0.1701225
688181,2019,0.09383366666666666
688181,2020,0.06519766666666667
688181,2021,0.061093
688181,2022,0.06644916666666667
688182,2018,0.20852700000000002
688182,2019,0.7142925
688182,2020,0.22943449999999999
688182,2021,0.046233199999999995
688182,2022,0.020226499999999998
688183,2017,0.064503
688183,2018,0.0924555
688183,2019,0.119104
688183,2020,0.08683116666666667
688183,2021,0.026177142857142854
688183,2022,0.02683625
688184,2019,0.023826
688184,2020,0.041833
688184,2021,0.041433
688184,2022,0.03023575
688185,2017,-0.074391
688185,2018,-0.173737
688185,2019,-0.087857
688185,2020,-0.039558125
688185,2021,0.09321542857142857
688185,2022,-0.0224415
688186,2016,0.026503
688186,2017,0.040748
688186,2018,0.042082499999999995
688186,2019,0.04234733333333333
688186,2020,0.030775
688186,2021,0.023939714285714286
688186,2022,0.0123225
688187,2018,0.082899
688187,2019,0.085937
688187,2020,0.0783065
688187,2021,0.039900599999999994
688187,2022,0.038378166666666665
688188,2016,0.49565549999999997
688188,2017,0.4840065
688188,2018,0.3808035
688188,2019,0.15600175
688188,2020,0.085184125
688188,2021,0.11391814285714286
688188,2022,0.07535816666666667
688189,2017,0.096904
688189,2018,0.066692
688189,2019,0.13410049999999998
688189,2020,0.039524
688189,2021,-0.0007981428571428578
688189,2022,-0.006934666666666666
688190,2018,0.10026299999999999
688190,2019,0.1137325
688190,2020,0.122565
688190,2021,0.07483975
688190,2022,0.0511835
688191,2017,0.12086949999999999
688191,2018,0.1304345
688191,2019,0.1541415
688191,2020,0.08306666666666666
688191,2021,0.02658414285714286
688191,2022,0.017550875
688192,2018,-0.269515
688192,2019,-0.7037135
688192,2020,-0.4905745
688192,2021,-0.3453905
688192,2022,-0.214488
688193,2018,-0.1871715
688193,2019,0.017157
688193,2020,0.1952645
688193,2021,0.12598175
688193,2022,0.014074000000000001
688195,2017,-0.152476
688195,2018,0.137839
688195,2019,0.108216
688195,2020,0.0937955
688195,2021,0.03005725
688195,2022,0.0373065
688196,2016,0.1000355
688196,2017,0.0867685
688196,2018,0.153395
688196,2019,0.11816
688196,2020,0.060108999999999996
688196,2021,0.060287571428571426
688196,2022,0.11222016666666666
688197,2018,-0.1924845
688197,2019,-0.284105
688197,2020,-1.874088
688197,2021,-1.405844
688197,2022,-0.0792045
70,2000,0.028776000000000003
70,2001,0.024202
70,2002,0.00212975
70,2003,0.0014705
70,2004,0.0011622857142857144
70,2005,-0.054977500000000006
